case,cores,a_new_makespan,b_makespan,b_speedup,b_added_bytes,b_copy_amplification,b_active,b_groups,b_source,b_peak_L1,b_peak_UB,b_calls,b_valid,b_errors,b_cycle_errors,l2_makespan,l2_speedup,paired_makespan,cache_gain,paired_hit_rate,selected_hit_rate,selected_added_bytes,selected_source,l2_extra_search_gain,l2_calls,l2_errors
case_016,5,3223183,2090062,3.6915282895914094,546240,2.389153090652005,5,17995,fixed_1,196608,65538,44,27,17,10,2086888,3.6971428270228204,2086888,1.0015209249370354,0.5666379458900569,0.5666379458900569,546240,b_candidate_local1_fixed_1_merge_0_1,1.0,45,15
case_017,2,81772,77229,2.1081459037408226,150152,1.2332052520571177,2,86,local1_fixed_16_move_71_0_22,107520,57348,72,57,15,5,77229,2.1081459037408226,77229,1.0,0.010848836716531763,0.010848836716531763,150152,local1_paired_b_plan_merge_0_1,1.0,73,16
case_017,3,55389,58288,2.793199286302498,308288,1.478810676822052,3,58,local1_fixed_24_move_2_1_12,95232,71686,72,61,11,0,58288,2.793199286302498,58288,1.0,0.12647086804658939,0.12647086804658939,308288,b_candidate_local2_fixed_24_split_0_1,1.0,73,12
case_017,4,41209,53838,3.02407221664995,336960,1.5233419583699612,4,57,local1_a_selected_move_2_1_12,95232,71686,72,57,15,0,53838,3.02407221664995,53838,1.0,0.12405382562396185,0.12405382562396185,336960,b_candidate_local1_a_selected_move_2_2_12,1.0,73,18
case_017,5,34231,53838,3.02407221664995,307148,1.4770401110797033,5,57,local1_a_selected_move_2_2_13,95232,71686,72,56,16,0,53838,3.02407221664995,53838,1.0,0.12510004845884537,0.12510004845884537,307148,b_candidate_local1_a_selected_move_2_4_1,1.0,73,18
case_018,2,510696,517800,1.9396813441483198,2104948,2.321499603226422,2,682,fixed_4,524288,81972,72,54,18,6,517800,1.9396813441483198,517800,1.0,0.44365348983543923,0.44365348983543923,2104948,b_candidate_local1_fixed_4_merge_144_145,1.0,73,16
case_018,3,345351,344821,2.9127199329507194,3051736,2.9158990688377044,3,682,fixed_4,397312,81936,72,55,17,6,344440,2.915941818604111,344440,1.001106143305075,0.5423714061910703,0.5405146653514752,3051736,b_candidate_local1_fixed_4_merge_169_170,1.0,73,15
case_018,4,258569,263616,3.8099622177713037,4799752,4.013314515886011,4,1364,local1_fixed_2_move_363_2_0,524288,65540,72,54,18,5,262739,3.8226795412938315,263240,1.0014283543534417,0.6319178790340447,0.634667776651382,4807944,local1_paired_b_plan_move_463_0_0,1.0019068353004312,73,18
case_018,5,209976,215899,4.6520224734713915,4034540,3.532909605938545,5,1364,local1_fixed_2_swap_0_16,249856,65536,72,54,18,5,215039,4.6706271885564945,215490,1.0018979999071882,0.3937632635880527,0.3857812387338669,4034540,local1_b_candidate_fixed_2_swap_0_22,1.0020972939792316,73,18
case_019,2,41382,45280,1.7920494699646643,150336,1.804004620716211,2,324,local1_fixed_2_move_54_1_0,31488,22534,72,37,35,13,45262,1.7927621404268481,45262,1.0003976845919313,0.06518824136152657,0.06518824136152657,150336,local1_paired_b_plan_merge_106_107,1.0,73,34
case_019,3,28657,34150,2.37610541727672,247160,2.321824327215163,3,324,local1_fixed_2_move_26_1_0,31488,18434,72,39,33,12,34098,2.379729016364596,34251,0.9970511809874164,0.16474527624970103,0.1831140875388663,247160,b_candidate_local1_fixed_2_move_26_2_0,1.0044870666901284,73,32
case_019,4,24099,28282,2.8691040237606957,275800,2.474992512728362,4,324,local1_fixed_2_move_54_0_0,31488,16520,72,45,27,10,28244,2.8729641693811074,28244,1.0013454184959638,0.18579623782629964,0.18579623782629964,275800,local1_paired_b_plan_merge_106_107,1.0,73,26
case_019,5,24099,25482,3.1843654344242993,290964,2.556090360672571,5,324,fixed_2,31488,16514,72,46,26,5,25413,3.1930114508322514,25413,1.002715145791524,0.21811264038005748,0.21811264038005748,290964,b_candidate_local1_fixed_2_merge_102_103,1.0,73,23
case_020,2,266956,266580,1.9984469952734638,0,1.0,2,1752,fixed_4,0,32768,44,44,0,0,266580,1.9984469952734638,266580,1.0,0.0,0.0,0,b_candidate_local1_fixed_4_split_0_1,1.0,45,0
case_020,3,178464,181764,2.930976430976431,0,1.0,3,1752,fixed_4,0,32768,44,44,0,0,181764,2.930976430976431,181764,1.0,0.0,0.0,0,b_candidate_local1_fixed_4_split_0_1,1.0,45,0
case_020,4,133704,139273,3.8251922483180514,0,1.0,4,1752,fixed_4,0,32768,44,44,0,0,139273,3.8251922483180514,139273,1.0,0.0,0.0,0,b_candidate_local1_fixed_4_split_0_1,1.0,45,0
case_020,5,107650,115022,4.631687851019805,0,1.0,5,1752,fixed_4,0,32768,44,44,0,0,115022,4.631687851019805,115022,1.0,0.0,0.0,0,b_candidate_local1_fixed_4_split_0_1,1.0,45,0
case_021,2,3162700,3214106,2.043472430591897,35590144,11.661349693251534,2,3920,local1_fixed_1_move_0_1_0,522240,0,72,52,20,7,3210064,2.0460454994043733,3210064,1.0012591649263067,0.06917542888765911,0.06917542888765911,35590144,local1_paired_b_plan_merge_10_12,1.0,73,18
case_021,3,2144024,2230404,2.944729744028436,43739136,14.102453987730062,3,3920,fixed_1,423936,0,72,53,19,8,2230404,2.944729744028436,2230404,1.0,0.008311644698178154,0.008311644698178154,43739136,b_candidate_local1_fixed_1_merge_0_3,1.0,73,17
case_021,4,1550324,1738549,3.7778267969438883,53135360,16.91717791411043,4,3920,local1_fixed_1_swap_0_10,389120,0,72,53,19,7,1737419,3.7802838578374014,1737565,1.0005663097495634,0.055286328578254045,0.055286328578254045,53135360,local1_b_candidate_fixed_1_swap_0_7,1.0000840326944738,73,20
case_021,5,1250168,1387229,4.734573022911142,59209728,18.73680981595092,5,3920,local1_fixed_1_swap_0_13,524288,0,72,50,22,11,1378692,4.763889976876634,1378718,1.0061731260489817,0.11381888673497646,0.11352429497479084,59185152,local1_paired_b_plan_move_10_2_0,1.000018858454245,73,21
case_022,2,31089,39773,1.4276016393030448,144620,1.6767874357702424,2,170,fixed_8,16384,81926,72,49,23,7,39773,1.4276016393030448,39773,1.0,0.05909951995219892,0.05909951995219892,144620,b_candidate_local1_fixed_8_merge_117_118,1.0,73,19
case_022,3,20473,31562,1.798998796020531,262156,2.2268281497150024,3,19,local1_a_selected_move_18_2_0,36864,100354,72,56,16,4,30251,1.876962745033222,31562,1.0,0.11218905608905007,0.17889296974030616,469400,local1_paired_b_plan_move_13_2_0,1.0433374103335427,73,16
case_022,4,16137,32088,1.769508850660683,433318,3.027825875349812,4,678,local1_fixed_2_move_465_1_0,10752,49160,72,41,31,9,32079,1.770005299417064,32079,1.000280557373983,0.2508790464362328,0.2508790464362328,433318,local1_paired_b_plan_merge_484_485,1.0,73,31
case_022,5,13013,29686,1.9126861146668463,427478,3.0004960549591457,5,678,local1_fixed_2_swap_0_23,12288,49160,72,41,31,9,29673,1.9135240791291748,29673,1.0004381087183636,0.2740509266668801,0.2740509266668801,427478,local1_paired_b_plan_merge_484_485,1.0,73,30
case_023,2,61501,82193,1.4917815385738444,822416,2.854610728750417,2,1011,local1_fixed_1_move_904_1_249,61440,20486,72,42,30,6,80752,1.5184020210025757,82162,1.0003773033762566,0.1442616768331455,0.16973423908612234,837776,local1_b_candidate_local1_fixed_1_move_494_1_0_move_904_1_249,1.0174608678422825,73,26
case_023,3,41403,62012,1.9772624653292912,993034,3.239367315827929,3,1011,local1_fixed_1_swap_0_17,81408,16524,72,45,27,4,60615,2.0228326321867525,60665,1.0222039067007336,0.28807429076359886,0.28807429076359886,993034,local1_paired_b_plan_swap_0_18,1.0008248783304463,73,24
case_023,4,30142,52816,2.3215313541351104,965658,3.1776323504207973,4,1011,local1_fixed_1_swap_0_19,58368,20492,72,44,28,6,51862,2.364235856696618,51901,1.0176297181171847,0.28091669998323426,0.27933204481125595,977946,local1_paired_b_plan_move_910_2_102,1.0007519956808453,73,25
case_023,5,24517,46643,2.6287760221255065,1076390,3.427341445594032,5,1011,local1_fixed_1_move_494_2_0,61440,20480,72,45,27,6,44004,2.786428506499409,44030,1.059345900522371,0.2898965968763077,0.2898965968763077,1076390,local1_paired_b_plan_swap_0_19,1.000590855376784,73,26
case_024,2,1506718,1335245,1.9137633917370969,396856,2.009251865377475,2,5959,fixed_1,393216,65546,44,28,16,8,1334413,1.9149566138819092,1334413,1.0006234951248227,0.4988455468555741,0.4988455468555741,396856,b_candidate_local1_fixed_1_merge_0_1,1.0,45,14
case_024,3,1228774,1004417,2.5441056851885224,596276,2.516400571693056,3,5959,fixed_1,262144,65542,44,30,14,10,1004098,2.544913942662967,1004098,1.0003176980732957,0.5982402313371848,0.5982402313371848,596276,b_candidate_local1_fixed_1_merge_0_1,1.0,45,12
case_024,4,1072818,797552,3.2039829377896365,728560,2.8528144693274466,4,5959,local1_fixed_1_swap_0_3,196608,65540,44,30,14,10,794358,3.216865695316218,794358,1.00402085709466,0.645198686159593,0.645198686159593,728560,local1_paired_b_plan_merge_0_1,1.0,45,12
case_024,5,1067515,696946,3.666486356188284,531552,2.3517997650158438,5,5959,fixed_1,196608,65538,44,31,13,10,693772,3.683260494802327,693772,1.0045749900543695,0.5698268225321776,0.5698268225321776,531552,b_candidate_local1_fixed_1_merge_0_1,1.0,45,12
