case,cores,singlecore_makespan,makespan,speedup,added_copy_bytes,partition_added_copy_bytes,spill_added_copy_bytes,selected_source,total_seconds,paired_no_l2_makespan,paired_with_l2_makespan,paired_no_l2_added_copy_bytes,paired_with_l2_added_copy_bytes,paired_l2_speedup,paired_cache_hit_rate,cache_hit_rate
case_046,5,276455,91339,3.0266917745979263,3216768,3216768,0,round6_round4_round3_round2_round1_structure_chains_8_tensorlocal_1000000055_0_tensorlocal_1000000043_1_tensorlocal_1000000053_3_boundary_62_32_tensorlocal_1000000059_2,0.093,,,,,,,
case_046,2,276455,109740,2.5191817022052123,930400,930400,0,round1_structure_chains_8_merge_10_12,0.078,,,,,,,
case_046,3,276455,81487,3.392627044804693,1909952,1909952,0,round1_polish_seed_reference_local1_fixed_1_move_4_1_0_critical_order_move_124_2_0,0.094,,,,,,,
case_046,4,276455,79322,3.4852247800105896,2791200,2791200,0,round1_structure_chains_8_memory_order,0.094,,,,,,,
case_047,5,326508,154584,2.1121720229777985,5526200,5526200,0,round1_structure_chains_8_boundary_1365_968,0.687,,,,,,,
case_047,2,326508,213022,1.5327430969571219,2978630,2978630,0,round4_round3_round2_round1_structure_chains_8_boundary_1327_966_boundary_1365_968_boundary_2686_1982_boundary_2743_1985,0.672,,,,,,,
case_047,3,326508,174457,1.871567205672458,4367052,4367052,0,round4_round3_round1_structure_chains_8_merge_2004_2006_boundary_1365_968_placement,0.703,,,,,,,
case_047,4,326508,162974,2.003436130916588,5330002,5330002,0,round5_round4_round3_round2_round1_structure_chains_8_swap_0_10_tensorlocal_1000007163_3_boundary_1308_965_merge_1861_1863_merge_1859_1861,0.703,,,,,,,
case_048,5,222220,99538,2.2325142156764253,1176024,1176024,0,round4_round3_round1_polish_seed_reference_a_chains_8_placement_merge_1200_1205_merge_227_229_placement,0.14,,,,,,,
case_048,2,222220,146666,1.5151432506511393,1114758,1114758,0,polish_seed_reference_fixed_1_placement,0.11,,,,,,,
case_048,3,222220,111998,1.9841425739745353,993676,993676,0,round3_round2_round1_polish_seed_reference_a_chains_8_placement_swap_0_102_merge_226_228_placement,0.125,,,,,,,
case_048,4,222220,104517,2.126161294334893,1011602,1011602,0,round1_seed_reference_a_chains_8_merge_226_228,0.141,,,,,,,
